skuId,name,cep,region,available,price,pickupStoreCount,pickupStores,fastestPickup,deliveryChannels
1003137934,LEGO - Speed Champions - Máquina do Tempo De Volta Para O Futuro - 77256,01310-100,Sao Paulo - Av. Paulista,available,213.99,10,Ri Happy Augusta | Ri Happy Shopping Pátio Higienópolis | PBKIDS AVENIDA REBOUÇAS - Loja Parceira | PBKIDS IGUATEMI JK - Loja Parceira | Ri Happy Bourbon SP | Ri Happy Miruna | PBKIDS MOOCA PLAZA SHOPPING - Loja Parceira | Ri Happy Shopping Villa Lobos | PBKIDS MORUMBI SHOPPING - Loja Parceira | PBKIDS SANTANA PARQUE SHOPPING - Loja Parceira,11h,delivery | pickup-in-point
1003137934,LEGO - Speed Champions - Máquina do Tempo De Volta Para O Futuro - 77256,90010-150,Porto Alegre - Centro,withoutStock,213.99,0,,,
1003137934,LEGO - Speed Champions - Máquina do Tempo De Volta Para O Futuro - 77256,69900-000,Rio Branco - Acre,withoutStock,213.99,0,,,
1002800281,Carrinho com Controle Remoto - Marvel - Homem-Aranha - Autoracing - Candide,01310-100,Sao Paulo - Av. Paulista,available,67.99,10,Ri Happy Shopping Pátio Higienópolis | Ri Happy Vila Mariana | Ri Happy João Cachoeira | PBKIDS AVENIDA REBOUÇAS - Loja Parceira | Ri Happy Iguatemi São Paulo | PBKIDS SHOPPING ELDORADO - Loja Parceira | PBKIDS IGUATEMI JK - Loja Parceira | PBKIDS SHOPPING IBIRAPUERA - Loja Parceira | Ri Happy Bourbon SP | PBKIDS MOOCA PLAZA SHOPPING - Loja Parceira,11h,delivery | pickup-in-point
1002800281,Carrinho com Controle Remoto - Marvel - Homem-Aranha - Autoracing - Candide,90010-150,Porto Alegre - Centro,available,67.99,3,Ri Happy Praia de Belas Prime Offices | Ri Happy Bourbon Shopping Carlos Gomes  | Ri Happy Bourbon Ipiranga - POA,11h,delivery | pickup-in-point
1002800281,Carrinho com Controle Remoto - Marvel - Homem-Aranha - Autoracing - Candide,69900-000,Rio Branco - Acre,withoutStock,67.99,0,,,
1002697772,Lego - Lego Creator - Ônibus Espacial - 31134,01310-100,Sao Paulo - Av. Paulista,available,69.99,11,Ri Happy Augusta | Ri Happy Shopping Pátio Higienópolis | Ri Happy Vila Mariana | Ri Happy João Cachoeira | PBKIDS AVENIDA REBOUÇAS - Loja Parceira | Ri Happy Iguatemi São Paulo | PBKIDS IGUATEMI JK - Loja Parceira | PBKIDS SHOPPING IBIRAPUERA - Loja Parceira | Ri Happy Bourbon SP | Ri Happy Miruna |  Ri Happy Otto Baumgart,11h,delivery | pickup-in-point
1002697772,Lego - Lego Creator - Ônibus Espacial - 31134,90010-150,Porto Alegre - Centro,available,69.99,3,Ri Happy Praia de Belas Prime Offices | Ri Happy Bourbon Ipiranga - POA | Ri Happy Baby Barra Shopping Sul,11h,delivery | pickup-in-point
1002697772,Lego - Lego Creator - Ônibus Espacial - 31134,69900-000,Rio Branco - Acre,withoutStock,69.99,0,,,
1002128253,Massa de Modelar - Play-Doh - Mini Sorveteria Divertida com 2 Cores de Massinha - Hasbro,01310-100,Sao Paulo - Av. Paulista,available,49.99,10,Ri Happy Augusta | Ri Happy Shopping Pátio Higienópolis | Ri Happy João Cachoeira | PBKIDS AVENIDA REBOUÇAS - Loja Parceira | Ri Happy Iguatemi São Paulo | PBKIDS SHOPPING ELDORADO - Loja Parceira | PBKIDS IGUATEMI JK - Loja Parceira | PBKIDS SHOPPING IBIRAPUERA - Loja Parceira | Ri Happy Shopping Villa Lobos | PBKIDS MORUMBI SHOPPING - Loja Parceira,11h,delivery | pickup-in-point
1002128253,Massa de Modelar - Play-Doh - Mini Sorveteria Divertida com 2 Cores de Massinha - Hasbro,90010-150,Porto Alegre - Centro,available,49.99,2,Ri Happy Bourbon Shopping Carlos Gomes  | Ri Happy Baby Barra Shopping Sul,11h,delivery | pickup-in-point
1002128253,Massa de Modelar - Play-Doh - Mini Sorveteria Divertida com 2 Cores de Massinha - Hasbro,69900-000,Rio Branco - Acre,withoutStock,49.99,0,,,
1002095905,Balde Primeiros Blocos - Fisher-Price - 20cm - 10 Blocos,01310-100,Sao Paulo - Av. Paulista,available,52.99,10,Ri Happy Augusta | Ri Happy Shopping Pátio Higienópolis | Ri Happy Vila Mariana | Ri Happy João Cachoeira | PBKIDS AVENIDA REBOUÇAS - Loja Parceira | Ri Happy Iguatemi São Paulo | PBKIDS SHOPPING ELDORADO - Loja Parceira | PBKIDS IGUATEMI JK - Loja Parceira | PBKIDS SHOPPING IBIRAPUERA - Loja Parceira | Ri Happy Bourbon SP,11h,delivery | pickup-in-point
1002095905,Balde Primeiros Blocos - Fisher-Price - 20cm - 10 Blocos,90010-150,Porto Alegre - Centro,available,52.99,3,Ri Happy Praia de Belas Prime Offices | Ri Happy Bourbon Shopping Carlos Gomes  | Ri Happy Bourbon Ipiranga - POA,11h,delivery | pickup-in-point
1002095905,Balde Primeiros Blocos - Fisher-Price - 20cm - 10 Blocos,69900-000,Rio Branco - Acre,withoutStock,52.99,0,,,
100154823,LEGO Classic - Maleta Criativa - 10713,01310-100,Sao Paulo - Av. Paulista,available,125.99,10,Ri Happy Augusta | Ri Happy Shopping Pátio Higienópolis | Ri Happy Vila Mariana | Ri Happy João Cachoeira | PBKIDS AVENIDA REBOUÇAS - Loja Parceira | Ri Happy Iguatemi São Paulo | PBKIDS SHOPPING ELDORADO - Loja Parceira | PBKIDS IGUATEMI JK - Loja Parceira | PBKIDS SHOPPING IBIRAPUERA - Loja Parceira | Ri Happy Bourbon SP,11h,delivery | pickup-in-point
100154823,LEGO Classic - Maleta Criativa - 10713,90010-150,Porto Alegre - Centro,available,125.99,4,Ri Happy Praia de Belas Prime Offices | Ri Happy Bourbon Shopping Carlos Gomes  | Ri Happy Bourbon Ipiranga - POA | Ri Happy Baby Barra Shopping Sul,11h,delivery | pickup-in-point
100154823,LEGO Classic - Maleta Criativa - 10713,69900-000,Rio Branco - Acre,withoutStock,125.99,0,,,
1003150653,Sylvanian Families - Série Dos Bebês Com Fantasias De Fadas Do Bosque - Surpresa - Epoch,01310-100,Sao Paulo - Av. Paulista,available,49.99,10,Ri Happy Augusta | Ri Happy Vila Mariana | Ri Happy João Cachoeira | PBKIDS AVENIDA REBOUÇAS - Loja Parceira | Ri Happy Miruna | Ri Happy Shopping Villa Lobos | Ri Happy  Shopping Metrô Tatuapé | PBKIDS SHOPPING JARDIM SUL - Loja Parceira | Ri Happy Morumbi Town Shopping | Ri Happy Shopping Center Penha,11h,delivery | pickup-in-point
1003150653,Sylvanian Families - Série Dos Bebês Com Fantasias De Fadas Do Bosque - Surpresa - Epoch,90010-150,Porto Alegre - Centro,available,49.99,2,Ri Happy Praia de Belas Prime Offices | Ri Happy Bourbon Shopping Carlos Gomes ,11h,delivery | pickup-in-point
1003150653,Sylvanian Families - Série Dos Bebês Com Fantasias De Fadas Do Bosque - Surpresa - Epoch,69900-000,Rio Branco - Acre,withoutStock,49.99,0,,,
1003137234,LEGO - Disney - Speed Champions - Relâmpago Mcqueen - 77255,01310-100,Sao Paulo - Av. Paulista,available,222.99,11,Ri Happy Shopping Pátio Higienópolis | Ri Happy Vila Mariana | PBKIDS AVENIDA REBOUÇAS - Loja Parceira | Ri Happy Iguatemi São Paulo | PBKIDS IGUATEMI JK - Loja Parceira | PBKIDS SHOPPING IBIRAPUERA - Loja Parceira | Ri Happy Bourbon SP | Ri Happy Miruna | PBKIDS MOOCA PLAZA SHOPPING - Loja Parceira | Ri Happy Shopping Villa Lobos | Ri Happy Shopping Interlagos,11h,delivery | pickup-in-point
1003137234,LEGO - Disney - Speed Champions - Relâmpago Mcqueen - 77255,90010-150,Porto Alegre - Centro,available,222.99,1,Ri Happy Praia de Belas Prime Offices,11h,delivery | pickup-in-point
1003137234,LEGO - Disney - Speed Champions - Relâmpago Mcqueen - 77255,69900-000,Rio Branco - Acre,withoutStock,222.99,0,,,
1003137121,LEGO - Super Heroes Marvel - Homem-Aranha Vs. Motoqueiro Fantasma - 76335,01310-100,Sao Paulo - Av. Paulista,available,93.99,10,Ri Happy Augusta | Ri Happy Shopping Pátio Higienópolis | Ri Happy João Cachoeira | PBKIDS AVENIDA REBOUÇAS - Loja Parceira | Ri Happy Iguatemi São Paulo | PBKIDS SHOPPING ELDORADO - Loja Parceira | PBKIDS IGUATEMI JK - Loja Parceira | Ri Happy Shopping Villa Lobos | Ri Happy  Shopping Metrô Tatuapé | PBKIDS SHOPPING ANÁLIA FRANCO - Loja Parceira,11h,delivery | pickup-in-point
1003137121,LEGO - Super Heroes Marvel - Homem-Aranha Vs. Motoqueiro Fantasma - 76335,90010-150,Porto Alegre - Centro,available,93.99,1,Ri Happy Bourbon Shopping Carlos Gomes ,11h,delivery | pickup-in-point
1003137121,LEGO - Super Heroes Marvel - Homem-Aranha Vs. Motoqueiro Fantasma - 76335,69900-000,Rio Branco - Acre,withoutStock,93.99,0,,,
1003137061,LEGO - Spidey - Spidey Em Sua Motocicleta Vs. Rhino - 11206,01310-100,Sao Paulo - Av. Paulista,available,83.99,10,Ri Happy Augusta | Ri Happy João Cachoeira | PBKIDS IGUATEMI JK - Loja Parceira | PBKIDS SHOPPING IBIRAPUERA - Loja Parceira | Ri Happy Miruna | Ri Happy  Shopping Metrô Tatuapé | PBKIDS SHOPPING ANÁLIA FRANCO - Loja Parceira | Ri Happy Shopping Interlagos | PBKIDS SHOPPING GRANJA VIANNA - Loja Parceira | PBKIDS SHOPPING TAMBORÉ - Loja Parceira,11h,delivery | pickup-in-point
1003137061,LEGO - Spidey - Spidey Em Sua Motocicleta Vs. Rhino - 11206,90010-150,Porto Alegre - Centro,available,83.99,2,Ri Happy Praia de Belas Prime Offices | Ri Happy Bourbon Ipiranga - POA,11h,delivery | pickup-in-point
1003137061,LEGO - Spidey - Spidey Em Sua Motocicleta Vs. Rhino - 11206,69900-000,Rio Branco - Acre,withoutStock,83.99,0,,,
