productId,skuId,name,brand,top,category,bracket,price
1001807749,100002050,Girafa com Blocos Fisher-Price,Fisher Price,BABY,BRINQUEDOS PARA BEBES,0-2,139.99
1002969891,1002835452,Mini Veiculo Elétrico - Audi RS E-Tron GT - Branco - 12V - Bandeirante,Bandeirante,BABY,MINI VEICULOS,3-5,2699.99
1001806483,100216724,Chocalho - Amiguinho Maluquinho - 1 peça - Minimi,Minimi,BABY,MORDEDORES,unknown,53.99
1003266301,1003152913,Conjunto De Acessórios - Fábrica Faça Seu Squishy - Fun,Fun,BRINQUEDOS,ARTES,6-8,150.99
1003264184,1003150653,Sylvanian Families - Série Dos Bebês Com Fantasias De Fadas Do Bosque - Surpresa - Epoch,Epoch,BRINQUEDOS,BRINCADEIRA DE CASINHA,3-5,49.99
1002858670,1002724877,Brinquedo De Atividades - Projetor De Pintura - Galinha Pintadinha - Yes Toys,Yes Toys,BRINQUEDOS,FAZ DE CONTA,unknown,139.99
1003120676,1002994937,Conjunto de Artes - 2 Mini Pelucia - Surpresa - Para Pintar - Airbrush - Fun,Fun,BRINQUEDOS,PELUCIAS,6-8,119.99
1003174408,1003051830,Guitarra Eletronica - Galinha Pintadinha - Com Som E Luz - Yes Toys,Yes Toys,BRINQUEDOS,INSTRUMENTOS MUSICAIS,0-2,57.99
1002934543,1002800281,Carrinho com Controle Remoto - Marvel - Homem-Aranha - Autoracing - Candide,Candide,BRINQUEDOS,VEICULOS DE BRINQUEDO,3-5,67.99
1001924497,100326062,Lançador De Dardos - Nerf - Elite 2.0 - Commander - Hasbro,Hasbro,BRINQUEDOS,LANCADORES,6-8,142.99
1003253220,1003137934,LEGO - Speed Champions - Máquina do Tempo De Volta Para O Futuro - 77256,LEGO,BRINQUEDOS,BLOCOS DE MONTAR,9-12,213.99
1003254492,1003139614,Quebra-Cabeça - Guerreiras Do K-Pop - 200 Peças - Grow,Grow,BRINQUEDOS,QUEBRA-CABECAS,6-8,55.99
1002031046,100411316,Laptop - Patrulha Canina - Bilingue - Modelos Sortidos - Candide,Candide,BRINQUEDOS,BRINQUEDOS ELETRONICOS,0-2,99.99
1001811994,100222379,Bumbo - Patrulha Canina - Elka,Elka,BRINQUEDOS,BRINQUEDOS DE BELEZA,unknown,99.99
1002950949,1002816893,Boneca Articulada - Baby Alive - Brincando de Spa Loira - Hasbro,Hasbro,BONECOS E BONECAS,BONECAS,3-5,94.99
1002234911,1002111906,Boneco Articulado - Disney - Marvel - Amazing Friends - Homem Aranha - Hasbro,Hasbro,BONECOS E BONECAS,BONECOS,0-2,87.99
1001979562,100370971,Sylvanian Families - Van Piquenique Da Família - Epoch,Epoch,BONECOS E BONECAS,ACESSORIOS PARA BONECAS,unknown,299.99
1002819146,1002685911,Sylvanian Families - Conjunto A Primeira Casa - Epoch,Epoch,BONECOS E BONECAS,CASA DE BONECA,3-5,279.99
