store_name,city,state,address,latitude,longitude
Ri Happy Shopping Cidade São Paulo,São Paulo,SP,"Av. Paulista, 1230",-23.5641,-46.6524
Ri Happy Shopping Iguatemi São Paulo,São Paulo,SP,"Av. Brigadeiro Faria Lima, 2232",-23.5772,-46.6876
Ri Happy Shopping SP Market,São Paulo,SP,"Av. das Nações Unidas, 22540",-23.6811,-46.7003
Ri Happy Shopping Leste Aricanduva,São Paulo,SP,"Av. Aricanduva, 5555",-23.5684,-46.5057
Ri Happy Shopping VillaLobos,São Paulo,SP,"Av. das Nações Unidas, 4777",-23.5487,-46.7226
Ri Happy Morumbi Shopping,São Paulo,SP,"Av. Roque Petroni Júnior, 1089",-23.6231,-46.6989
Ri Happy Shopping Eldorado,São Paulo,SP,"Av. Rebouças, 3970",-23.5732,-46.6961
Ri Happy Shopping Center Norte,São Paulo,SP,"Travessa Casalbuono, 120",-23.5165,-46.6166
Ri Happy Shopping Anália Franco,São Paulo,SP,"Av. Regente Feijó, 1739",-23.5606,-46.5606
Ri Happy Shopping Metrô Itaquera,São Paulo,SP,"Av. José Pinheiro Borges, s/n",-23.5414,-46.4704
Ri Happy Shopping Metrô Tatuapé,São Paulo,SP,"Rua Domingos Agostim, 91",-23.5401,-46.5765
Ri Happy Shopping Metrô Santa Cruz,São Paulo,SP,"Rua Domingos de Morais, 2564",-23.5989,-46.6369
Ri Happy Shopping Jardim Sul,São Paulo,SP,"Rua Itacaiúna, 61",-23.6358,-46.7323
Ri Happy Shopping Ibirapuera,São Paulo,SP,"Av. Ibirapuera, 3103",-23.6106,-46.6669
Ri Happy Shopping Pátio Paulista,São Paulo,SP,"Rua Treze de Maio, 1947",-23.5709,-46.6432
Ri Happy Shopping Bourbon Pompeia,São Paulo,SP,"Rua Palestra Itália, 500",-23.5262,-46.6806
Ri Happy Shopping Pátio Higienópolis,São Paulo,SP,"Av. Higienópolis, 618",-23.5427,-46.6578
Ri Happy Shopping Center Penha,São Paulo,SP,"Rua Dr. João Ribeiro, 304",-23.5233,-46.5492
Ri Happy Shopping Interlagos,São Paulo,SP,"Av. Interlagos, 2255",-23.6749,-46.6873
Ri Happy Shopping Central Plaza,São Paulo,SP,"Av. Dr. Francisco Mesquita, 1000",-23.5925,-46.5891
Ri Happy Tietê Plaza Shopping,São Paulo,SP,"Av. Raimundo Pereira de Magalhães, 1465",-23.5042,-46.7214
Ri Happy Shopping D,São Paulo,SP,"Av. Cruzeiro do Sul, 1100",-23.5196,-46.6239
Ri Happy Shopping Raposo,São Paulo,SP,"Rod. Raposo Tavares, km 14.5",-23.5828,-46.7584
Ri Happy Shopping Continental,São Paulo,SP,"Av. Leão Machado, 100",-23.5459,-46.7538
Ri Happy Internacional Shopping Guarulhos,Guarulhos,SP,"Rod. Presidente Dutra, km 225",-23.4795,-46.5436
Ri Happy Shopping União de Osasco,Osasco,SP,"Av. dos Autonomistas, 1400",-23.5385,-46.7686
Ri Happy SuperShopping Osasco,Osasco,SP,"Av. dos Autonomistas, 1828",-23.5408,-46.7725
Ri Happy Shopping Tamboré,Barueri,SP,"Av. Piracema, 669",-23.5045,-46.8373
Ri Happy Iguatemi Alphaville,Barueri,SP,"Alameda Rio Negro, 111",-23.4984,-46.8524
Ri Happy Grand Plaza Shopping,Santo André,SP,"Av. Industrial, 600",-23.6496,-46.5332
Ri Happy Shopping ABC,Santo André,SP,"Av. Pereira Barreto, 42",-23.6669,-46.5384
Ri Happy Golden Square Shopping,São Bernardo do Campo,SP,"Av. Kennedy, 700",-23.6934,-46.5516
Ri Happy São Bernardo Plaza Shopping,São Bernardo do Campo,SP,"Av. Rotary, 624",-23.7145,-46.5418
Ri Happy Mauá Plaza Shopping,Mauá,SP,"Av. Gov. Mário Covas Júnior, 01",-23.6659,-46.4632
Ri Happy Shopping Praça da Moça,Diadema,SP,"Rua Graciosa, s/n",-23.6877,-46.6221
Ri Happy Shopping Iguatemi Campinas,Campinas,SP,"Av. Iguatemi, 777",-22.8927,-47.0249
Ri Happy Parque D. Pedro Shopping,Campinas,SP,"Av. Guilherme Campos, 500",-22.8492,-47.0628
Ri Happy Campinas Shopping,Campinas,SP,"Rua Jacy Teixeira Camargo, 940",-22.9287,-47.0789
Ri Happy Shopping Parque das Bandeiras,Campinas,SP,"Av. John Boyd Dunlop, 3900",-22.9231,-47.1264
Ri Happy Unimart Shopping Campinas,Campinas,SP,"Av. Império do Sol Nascente, 350",-22.8988,-47.0911
Ri Happy JundiaíShopping,Jundiaí,SP,"Av. 9 de Julho, 3333",-23.1963,-46.8879
Ri Happy Maxi Shopping Jundiaí,Jundiaí,SP,"Av. Antônio Frederico Ozanan, 6000",-23.1678,-46.8974
Ri Happy Ribeirão Shopping,Ribeirão Preto,SP,"Av. Cel. Fernando Ferreira Leite, 1540",-21.2132,-47.8174
Ri Happy Shopping Iguatemi Ribeirão Preto,Ribeirão Preto,SP,"Av. Luiz Eduardo Toledo Prado, 900",-21.2294,-47.8341
Ri Happy Novo Shopping Ribeirão Preto,Ribeirão Preto,SP,"Av. Presidente Kennedy, 1500",-21.1895,-47.7712
Ri Happy CenterVale Shopping,São José dos Campos,SP,"Av. Dep. Benedito Matarazzo, 9403",-23.2045,-45.8856
Ri Happy Colinas Shopping,São José dos Campos,SP,"Av. São João, 2200",-23.2018,-45.9082
Ri Happy Vale Sul Shopping,São José dos Campos,SP,"Av. Andrômeda, 227",-23.2241,-45.8906
Ri Happy Shopping Iguatemi Esplanada,Sorocaba,SP,"Av. Gisele Constantino, 1850",-23.5358,-47.4646
Ri Happy Praiamar Shopping,Santos,SP,"Rua Alexandre Martins, 80",-23.9772,-46.3113
Ri Happy Litoral Plaza Shopping,Praia Grande,SP,"Av. Ayrton Senna da Silva, 1511",-23.9997,-46.4172
Ri Happy Brisamar Shopping,São Vicente,SP,"Rua Frei Gaspar, 365",-23.9684,-46.3882
Ri Happy Bauru Shopping,Bauru,SP,"Rua Henrique Savi, 15-55",-22.3456,-49.0558
Ri Happy Marília Shopping,Marília,SP,"Rua dos Tucanos, 500",-22.1932,-49.9571
Ri Happy Iguatemi São Carlos,São Carlos,SP,"Passeio dos Flamboyants, 200",-22.0084,-47.9152
Ri Happy Iguatemi São José do Rio Preto,São José do Rio Preto,SP,"Av. Pres. Juscelino K. de Oliveira, 5000",-20.8415,-49.4069
Ri Happy Shopping Piracicaba,Piracicaba,SP,"Av. Limeira, 722",-22.7058,-47.6534
Ri Happy Mogi Shopping,Mogi das Cruzes,SP,"Av. Ver. Narciso Yague Guimarães, 1001",-23.5186,-46.1772
Ri Happy BarraShopping,Rio de Janeiro,RJ,"Av. das Américas, 4666",-22.9996,-43.3592
Ri Happy NorteShopping,Rio de Janeiro,RJ,"Av. Dom Hélder Câmara, 5474",-22.8872,-43.2842
Ri Happy Shopping Nova América,Rio de Janeiro,RJ,"Av. Pastor Martin Luther King Jr, 126",-22.8778,-43.2719
Ri Happy Shopping Tijuca,Rio de Janeiro,RJ,"Av. Maracanã, 866",-22.9234,-43.2355
Ri Happy Botafogo Praia Shopping,Rio de Janeiro,RJ,"Praia de Botafogo, 400",-22.9499,-43.1818
Ri Happy Shopping Rio Sul,Rio de Janeiro,RJ,"Rua Lauro Müller, 116",-22.9565,-43.1772
Ri Happy Shopping Leblon,Rio de Janeiro,RJ,"Av. Afrânio de Melo Franco, 290",-22.9828,-43.2201
Ri Happy Shopping Downtown,Rio de Janeiro,RJ,"Av. das Américas, 500",-23.0036,-43.3228
Ri Happy Shopping Metropolitano Barra,Rio de Janeiro,RJ,"Av. Embaixador Abelardo Bueno, 1300",-22.9739,-43.3761
Ri Happy Via Parque Shopping,Rio de Janeiro,RJ,"Av. Ayrton Senna, 3000",-22.9835,-43.3642
Ri Happy Bangu Shopping,Rio de Janeiro,RJ,"Rua Fonseca, 240",-22.8789,-43.4661
Ri Happy Madureira Shopping,Rio de Janeiro,RJ,"Estrada do Portela, 222",-22.8724,-43.3361
Ri Happy Carioca Shopping,Rio de Janeiro,RJ,"Av. Vicente de Carvalho, 909",-22.8532,-43.3115
Ri Happy Ilha Plaza Shopping,Rio de Janeiro,RJ,"Av. Maestro Paulo e Silva, 400",-22.7997,-43.2014
Ri Happy Shopping Boulevard RJ,Rio de Janeiro,RJ,"Rua Barão de São Francisco, 236",-22.9198,-43.2536
Ri Happy Plaza Shopping Niterói,Niterói,RJ,"Rua XV de Novembro, 8",-22.8972,-43.1256
Ri Happy Shopping Grande Rio,São João de Meriti,RJ,"Rod. Presidente Dutra, 4200",-22.7938,-43.3672
Ri Happy Shopping Nova Iguaçu,Nova Iguaçu,RJ,"Av. Abílio Augusto Távora, 1111",-22.7661,-43.4611
Ri Happy Partage Shopping São Gonçalo,São Gonçalo,RJ,"Av. Presidente Kennedy, 425",-22.8272,-43.0539
Ri Happy Boulevard Shopping Campos,Campos dos Goytacazes,RJ,"Av. Dr. Silvio Bastos Tavares, 330",-21.7678,-41.3172
Ri Happy BH Shopping,Belo Horizonte,MG,"Rod. BR 356, 3049",-19.9754,-43.9452
Ri Happy DiamondMall,Belo Horizonte,MG,"Av. Olegário Maciel, 1600",-19.9278,-43.9482
Ri Happy Shopping Cidade,Belo Horizonte,MG,"Rua dos Tupis, 337",-19.9208,-43.9392
Ri Happy Minas Shopping,Belo Horizonte,MG,"Av. Cristiano Machado, 4000",-19.8732,-43.9261
Ri Happy Shopping Del Rey,Belo Horizonte,MG,"Av. Presidente Carlos Luz, 3001",-19.8864,-43.9702
Ri Happy Shopping Estação BH,Belo Horizonte,MG,"Av. Cristiano Machado, 11833",-19.8214,-43.9538
Ri Happy Boulevard Shopping BH,Belo Horizonte,MG,"Av. dos Andradas, 3000",-19.9189,-43.9208
Ri Happy Pátio Savassi,Belo Horizonte,MG,"Av. do Contorno, 6061",-19.9398,-43.9332
Ri Happy ItaúPower Shopping,Contagem,MG,"Av. General David Sarnoff, 5160",-19.9534,-44.0289
Ri Happy Center Shopping Uberlândia,Uberlândia,MG,"Av. João Naves de Ávila, 1331",-18.9135,-48.2612
Ri Happy Uberlândia Shopping,Uberlândia,MG,"Av. Paulo Gracindo, 15",-18.9592,-48.2778
Ri Happy Independência Shopping,Juiz de Fora,MG,"Av. Presidente Itamar Franco, 3600",-21.7824,-43.3618
Ri Happy ParkShopping,Brasília,DF,SMAS Trecho 1,-15.834,-47.9555
Ri Happy Shopping Conjunto Nacional,Brasília,DF,SDN CNB Conjunto A,-15.7904,-47.8829
Ri Happy Iguatemi Brasília,Brasília,DF,SHIN CA 4,-15.7198,-47.8872
Ri Happy Brasília Shopping,Brasília,DF,SCN Quadra 05,-15.7877,-47.8931
Ri Happy Boulevard Shopping Brasília,Brasília,DF,STN Cj J,-15.7482,-47.9045
Ri Happy Taguatinga Shopping,Taguatinga,DF,QS 01 Rua 210,-15.8458,-48.0418
Ri Happy JK Shopping,Taguatinga,DF,QNM 34,-15.8118,-48.1132
Ri Happy Shopping Flamboyant,Goiânia,GO,"Av. Jamel Cecílio, 3300",-16.7088,-49.2346
Ri Happy Goiânia Shopping,Goiânia,GO,"Av. T-10, 1300",-16.7135,-49.2748
Ri Happy Buriti Shopping,Aparecida de Goiânia,GO,"Av. Rio Verde, s/n",-16.7395,-49.2882
Ri Happy Shopping Vitória,Vitória,ES,"Av. Américo Buaiz, 200",-20.3128,-40.2892
Ri Happy Shopping Praia da Costa,Vila Velha,ES,"Rua Dr. Olivio Lira, 353",-20.3478,-40.2928
Ri Happy Shopping Mestre Álvaro,Serra,ES,"Av. João Palácio, 300",-20.2458,-40.2798
Ri Happy Shopping Mueller,Curitiba,PR,"Av. Cândido de Abreu, 127",-25.4243,-49.2687
Ri Happy ParkShoppingBarigüi,Curitiba,PR,"Rua Prof. Pedro Viriato Parigot de Souza, 600",-25.4378,-49.3175
Ri Happy Shopping Palladium,Curitiba,PR,"Av. Presidente Kennedy, 4121",-25.4782,-49.2907
Ri Happy Shopping Curitiba,Curitiba,PR,"Rua Brigadeiro Franco, 2300",-25.4388,-49.2789
Ri Happy Shopping Estação,Curitiba,PR,"Av. Sete de Setembro, 2775",-25.4382,-49.2668
Ri Happy Catuaí Shopping Londrina,Londrina,PR,"Rod. Celso Garcia Cid, 5600",-23.3448,-51.1892
Ri Happy Maringá Park Shopping,Maringá,PR,"Av. São Paulo, 1099",-23.4248,-51.9362
Ri Happy Beiramar Shopping,Florianópolis,SC,"Rua Bocaiúva, 2468",-27.5849,-48.5448
Ri Happy Floripa Shopping,Florianópolis,SC,"Rod. SC 401, 3116",-27.5458,-48.4992
Ri Happy Continente Shopping,São José,SC,"Rod. BR 101, km 211",-27.6048,-48.6472
Ri Happy Balneário Shopping,Balneário Camboriú,SC,"Av. Santa Catarina, 1",-27.0016,-48.6478
Ri Happy Shopping Mueller Joinville,Joinville,SC,"Rua Visconde de Taunay, 235",-26.3039,-48.8488
Ri Happy Neumarkt Shopping,Blumenau,SC,"Rua 7 de Setembro, 1213",-26.9238,-49.0682
Ri Happy BarraShoppingSul,Porto Alegre,RS,"Av. Diário de Notícias, 300",-30.0838,-51.2464
Ri Happy Shopping Iguatemi Porto Alegre,Porto Alegre,RS,"Av. João Wallig, 1800",-30.0261,-51.1627
Ri Happy Praia de Belas Shopping,Porto Alegre,RS,"Av. Praia de Belas, 1181",-30.0487,-51.2289
Ri Happy Bourbon Shopping Wallig,Porto Alegre,RS,"Av. Assis Brasil, 2611",-30.0118,-51.1638
Ri Happy ParkShopping Canoas,Canoas,RS,"Av. Farroupilha, 4545",-29.9142,-51.1738
Ri Happy Shopping Pelotas,Pelotas,RS,"Av. Ferreira Viana, 152",-31.7582,-52.3218
Ri Happy Salvador Shopping,Salvador,BA,"Av. Tancredo Neves, 3133",-12.9785,-38.4554
Ri Happy Shopping da Bahia,Salvador,BA,"Av. Tancredo Neves, 148",-12.9818,-38.4682
Ri Happy Shopping Barra,Salvador,BA,"Av. Centenário, 2992",-13.0068,-38.5284
Ri Happy Shopping Bela Vista,Salvador,BA,"Alameda Euvaldo Luz, 92",-12.9738,-38.4772
Ri Happy Parque Shopping Bahia,Lauro de Freitas,BA,"Av. Santos Dumont, 4360",-12.8942,-38.3182
Ri Happy Boulevard Shopping Feira de Santana,Feira de Santana,BA,"Av. João Durval Carneiro, 3665",-12.2478,-38.9515
Ri Happy Shopping Center Recife,Recife,PE,"Rua Padre Carapuceiro, 777",-8.1189,-34.9038
Ri Happy RioMar Recife,Recife,PE,"Av. República do Líbano, 251",-8.0863,-34.8946
Ri Happy Shopping Tacaruna,Recife,PE,"Av. Gov. Agamenon Magalhães, 153",-8.0378,-34.8732
Ri Happy Shopping Guararapes,Jaboatão dos Guararapes,PE,"Av. Barreto de Menezes, 800",-8.1692,-34.9178
Ri Happy Caruaru Shopping,Caruaru,PE,"Av. Adjar da Silva Casé, 800",-8.2715,-35.9538
Ri Happy Iguatemi Bosque Fortaleza,Fortaleza,CE,"Av. Washington Soares, 85",-3.7712,-38.4878
Ri Happy RioMar Fortaleza,Fortaleza,CE,"Rua Des. Lauro Nogueira, 1500",-3.7423,-38.4721
Ri Happy RioMar Kennedy,Fortaleza,CE,"Av. Sargento Hermínio Sampaio, 3100",-3.7315,-38.5612
Ri Happy North Shopping Fortaleza,Fortaleza,CE,"Av. Bezerra de Menezes, 2450",-3.7358,-38.5684
Ri Happy Midway Mall,Natal,RN,"Av. Bernardo Vieira, 3775",-5.8115,-35.2064
Ri Happy Natal Shopping,Natal,RN,"Av. Senador Salgado Filho, 2234",-5.8458,-35.2158
Ri Happy Manaíra Shopping,João Pessoa,PB,"Av. Flávio Ribeiro Coutinho, 805",-7.0945,-34.8465
Ri Happy Parque Shopping Maceió,Maceió,AL,"Av. Comendador Gustavo Paiva, 5945",-9.6268,-35.7011
Ri Happy Shopping Jardins,Aracaju,SE,"Av. Ministro Geraldo Barreto Sobral, 215",-10.9427,-37.0664
Ri Happy São Luís Shopping,São Luís,MA,"Av. Prof. Carlos Cunha, 1000",-2.5118,-44.2789
Ri Happy Shopping da Ilha,São Luís,MA,"Av. Daniel de La Touche, 987",-2.5284,-44.2562
Ri Happy Teresina Shopping,Teresina,PI,"Av. Raul Lopes, 1000",-5.0842,-42.7915
Ri Happy Manauara Shopping,Manaus,AM,"Av. Mário Ypiranga, 1300",-3.1044,-60.0101
Ri Happy Amazonas Shopping,Manaus,AM,"Av. Djalma Batista, 482",-3.0948,-60.0232
Ri Happy Boulevard Shopping Belém,Belém,PA,"Av. Visconde de Souza Franco, 776",-1.4503,-48.4873
Ri Happy Parque Shopping Belém,Belém,PA,"Rod. Augusto Montenegro, 4300",-1.3658,-48.4485
Ri Happy Porto Velho Shopping,Porto Velho,RO,"Av. Rio Madeira, 3288",-8.7495,-63.8742
Ri Happy Via Verde Shopping,Rio Branco,AC,"Estrada da Floresta, 2320",-9.9612,-67.8421
Ri Happy Capim Dourado Shopping,Palmas,TO,"Av. Juscelino Kubitschek, s/n",-10.1815,-48.3362
Ri Happy Shopping Estação Cuiabá,Cuiabá,MT,"Av. Miguel Sutil, 9300",-15.5802,-56.1084
Ri Happy Pantanal Shopping,Cuiabá,MT,"Av. Historiador Rubens de Mendonça, 3300",-15.5715,-56.0691
Ri Happy Shopping Campo Grande,Campo Grande,MS,"Av. Afonso Pena, 4909",-20.4619,-54.5828
Ri Happy Shopping Bosque dos Ipês,Campo Grande,MS,"Av. Cônsul Assaf Trad, 4796",-20.3921,-54.5615
Ri Happy Shopping Norte Sul Plaza,Campo Grande,MS,"Av. Ernesto Geisel, 2300",-20.4789,-54.6245
