GeofenceName,Longitude,Latitude,Radius,MeasureType
PARQUE SHOPPING BAHIA,-38.3182,-12.8942,0.2,Km
PBKIDS AMAZONAS SHOPPING - Loja Parceira,-60.0232,-3.0948,0.2,Km
PBKIDS AVENIDA REBOUÇAS - Loja Parceira,-46.6769083,-23.5636642,0.2,Km
PBKIDS BH SHOPPING - Loja Parceira,-43.9452,-19.9754,0.2,Km
PBKIDS DIAMOND MALL - Loja Parceira,-43.9467186,-19.928013,0.2,Km
PBKIDS GOLDEN SQUARE SHOPPING - Loja Parceira,-46.5516,-23.6934,0.2,Km
PBKIDS IGUATEMI ALPHAVILLE - Loja Parceira,-46.8524,-23.4984,0.2,Km
PBKIDS IGUATEMI FORTALEZA - Loja Parceira,-38.4887659,-3.7554302,0.2,Km
PBKIDS IGUATEMI JK - Loja Parceira,-46.6897659,-23.5913636,0.2,Km
PBKIDS MANAUARA SHOPPING - Loja Parceira,-60.0101,-3.1044,0.2,Km
PBKIDS MOOCA PLAZA SHOPPING - Loja Parceira,-46.5942462,-23.5797396,0.2,Km
PBKIDS MORUMBI SHOPPING - Loja Parceira,-46.6989,-23.6231,0.2,Km
PBKIDS PARK SHOPPING BARIGUI - Loja Parceira,-49.3161146,-25.4347973,0.2,Km
PBKIDS PLAZA CASA FORTE - Loja Parceira,-34.9157378,-8.0357806,0.2,Km
PBKIDS PÁTIO BATEL - Loja Parceira,-49.2904018,-25.4439964,0.2,Km
PBKIDS RIOMAR FORTALEZA - Loja Parceira,-38.4721,-3.7423,0.2,Km
PBKIDS RIOMAR KENNEDY - Loja Parceira,-38.5612,-3.7315,0.2,Km
PBKIDS RIOMAR RECIFE - Loja Parceira,-34.8946,-8.0863,0.2,Km
PBKIDS SANTANA PARQUE SHOPPING - Loja Parceira,-46.6447654,-23.4828169,0.2,Km
PBKIDS SHOPPING ANÁLIA FRANCO - Loja Parceira,-46.5606,-23.5606,0.2,Km
PBKIDS SHOPPING BARRA - Loja Parceira,-38.5284,-13.0068,0.2,Km
PBKIDS SHOPPING BELA VISTA - Loja Parceira,-38.4772,-12.9738,0.2,Km
PBKIDS SHOPPING DEL PASEO - Loja Parceira,-38.4967986,-3.736146,0.2,Km
PBKIDS SHOPPING ELDORADO - Loja Parceira,-46.6961,-23.5732,0.2,Km
